CODIGO DE BARRAS,CODIGO INT,DESCRIPCION,Proveedor,CANTIDADES,stock al cargar,Entrada,Salida,Macros,Macros,Stock
5.01534E+12,BSO3440,SONAJERO PARA COCHE RANITAS,Mar-Plast,0,,0,0,0,0,
5.01534E+12,BSO3441,SONAJERO PARA COCHE ANIMALITOS SURTIDOS,Mar-Plast,0,,0,0,0,0,
5.01535E+12,HES3454,SET DE ESPADA CON PECHERA MEDIEVAL,Mar-Plast,0,,0,0,0,0,
5.01535E+12,NAN3458,MOVIL MUSICAL ANIMALITOS BORDE CORAZON CUERDA,Mar-Plast,0,,0,0,0,0,
5.01535E+12,HPO3467,SET POLICIA X 2 PISTOLA -HANDY-ESPOS,Mar-Plast,0,,0,0,0,0,
5.01535E+12,HPI3488,ORGANO INFANTIL SONIDO ANIMALITOS 8 TECLAS,Mar-Plast,0,,0,0,0,0,
5.01535E+12,HPI3500,SET COWBOY DOBLE PISTOLA MASCARA CANTIMPRORA,Mar-Plast,0,,0,0,0,0,
5.01535E+12,HAU3531,CAMIONETA 4 X 4 FRICCION 9CM PLASTICO,Mar-Plast,0,,0,0,0,0,
5.01535E+12,NMS3541,MICROFONO DE PIE DOBLE MUSICAL LUZ CON CONEXION MP3 Y CELULAR,Mar-Plast,0,,0,0,0,0,
5.01539E+12,FFI3945,FABRICA LANA FIORELLA CON ACCESORIOS,Mar-Plast,0,,0,0,0,0,
5.01601E+12,NME0051,TORRE APILABLE HUEVO DIDACTICA INFANTIL,Mar-Plast,0,,0,0,0,0,
5.01601E+12,NAN0058,MOVIL MUSICAL INFANTIL ANIMALITOS SURTIDOS COLOR CUERDA,Mar-Plast,0,,0,0,0,0,
5.01601E+12,HPO0059,SET DE POLICIA X 4 PZAS PISTOLA HANDY BINOCULARES Y PLACA,Mar-Plast,0,,0,0,0,0,
5.01601E+12,NMS0093,DIDACTICO MUSICAL INFANT CON ESPEJO MAGICO LUCES Y SONIDO,Mar-Plast,0,,0,0,0,0,
5.01601E+12,HMO0105,MOTO INFANTIL A RADIO CONTROL,Mar-Plast,0,,0,0,0,0,
5.01601E+12,NMS0109,MESITA DIDACTICA MULTIFUNCION MUSICAL LUZ Y PELOTAS,Mar-Plast,0,,0,0,0,0,
5.01601E+12,NMS0115,MOVIL MUSICAL DIDACTICO VEHICULOS PLAST,Mar-Plast,0,,0,0,0,0,
5.01601E+12,HPI0117,SET DE SHERIFF( PISTOLA+CARTE+ PLACA ),Mar-Plast,0,,0,0,0,0,
5.01601E+12,HAU0128,SET DE CAMIONETAS POLICIAS X 6 UNID,Mar-Plast,0,,0,0,0,0,
5.01601E+12,HRC0143,MINI AUTO RADIO CONT 2 FUNCIONES PILAS Y LUZ,Mar-Plast,0,,0,0,0,0,
5.01601E+12,HAU0146,AUTO POLICIA 1:16 RAD 27MHZ 6 FUNCIONES PILA,Mar-Plast,0,,0,0,0,0,
5.01602E+12,FRE0177,CAJA REGISTRADORA INTERACTIVA FIORELLA MICROFONO CALCULADORA,Mar-Plast,0,,0,0,0,0,
5.01602E+12,FBZ0179,SET DE TRENZADOR CON MOSTACILLAS PILAS,Mar-Plast,0,,0,0,0,0,
5.01602E+12,NDE0187,PELOTA DE FUTBOL CON AIRE LUCES Y PILAS,Mar-Plast,0,,0,0,0,0,
5.01602E+12,HAV0188,PROYECTOR INFANT.AVION LUZ PILAS MARCADOR,Mar-Plast,0,,0,0,0,0,
5.01602E+12,HRO0193,ROBOT GUERRERO TRANSFORMABLE 25CM CON ARMAS,Mar-Plast,0,,0,0,0,0,
5.01602E+12,HRO0196,MUÑECO ROBOT TRANSFORMABLE 20CM,Mar-Plast,0,,0,0,0,0,
5.01602E+12,HAU0227,CAMIONETA 4 X4 CON ACOPLADO MOTO FRICCION,Mar-Plast,0,,0,0,0,0,
5.01602E+12,HAU0228,CAMION MOSQUITO 30 CM CON 4 AUTOS FRICCION,Mar-Plast,0,,0,0,0,0,
5.01602E+12,HRC0232,AUTO DEPORTIVO 18CM RADIO CONTROL 27MHZ ESC. 1:24,Mar-Plast,0,,0,0,0,0,
5.01602E+12,FCO0238,SET DE COCINA X 7 PZAS INFANTIL CANASTO UTENSILLOS,Mar-Plast,0,,0,0,0,0,
5.01602E+12,FCO0239,JUEGO DE COCINA X 6PZAS ANAFE FORMA DE PEZ,Mar-Plast,0,,0,0,0,0,
